Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. Ident,Acc. Len,Accession
family 43 glycosylhydrolase [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1353,1353,99%,0.0,70.27%,904,MBO4801300.1
family 43 glycosylhydrolase [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1351,1351,97%,0.0,72.20%,911,MBQ7495071.1
family 43 glycosylhydrolase [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1336,1336,97%,0.0,71.15%,898,MBR3092813.1
family 43 glycosylhydrolase [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,879,959,57%,0.0,89.11%,510,MBR0047367.1
family 43 glycosylhydrolase [Prevotella sp.],Prevotella sp.,,59823,779,779,51%,0.0,78.35%,491,MBO4464846.1
glycoside hydrolase family 43 protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,777,777,53%,0.0,77.55%,509,MCR5779486.1
family 43 glycosylhydrolase [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,771,771,50%,0.0,77.29%,509,MBO7137491.1
family 43 glycosylhydrolase [Prevotella sp.],Prevotella sp.,,59823,770,770,50%,0.0,77.51%,501,MBO7108491.1
family 43 glycosylhydrolase [Prevotella sp.],Prevotella sp.,,59823,769,769,50%,0.0,78.98%,502,MBO4719370.1
family 43 glycosylhydrolase [Prevotella sp.],Prevotella sp.,,59823,767,767,51%,0.0,76.71%,504,MBR2236861.1
family 43 glycosylhydrolase [Prevotella sp.],Prevotella sp.,,59823,767,767,48%,0.0,80.00%,488,MBR4897189.1
family 43 glycosylhydrolase [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,765,765,50%,0.0,78.32%,503,MBO4673781.1
family 43 glycosylhydrolase [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,764,764,50%,0.0,78.10%,504,MBQ3925922.1
family 43 glycosylhydrolase [Prevotella sp.],Prevotella sp.,,59823,764,764,51%,0.0,76.50%,504,MBR6188814.1
family 43 glycosylhydrolase [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,763,763,50%,0.0,79.11%,511,MBR0244208.1
family 43 glycosylhydrolase [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,763,763,50%,0.0,79.11%,511,MBQ8937324.1
family 43 glycosylhydrolase [Prevotella sp.],Prevotella sp.,,59823,763,763,51%,0.0,77.34%,501,MBR6194098.1
family 43 glycosylhydrolase [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,763,763,50%,0.0,79.11%,511,MBR1787856.1
family 43 glycosylhydrolase [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,762,762,50%,0.0,79.11%,511,MBR1666466.1
family 43 glycosylhydrolase [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,762,762,50%,0.0,79.11%,511,MBP3823720.1
