Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. Ident,Acc. Len,Accession
CotH kinase family protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1502,1502,100%,0.0,88.03%,802,MBR0047368.1
CotH kinase family protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1127,1127,97%,0.0,68.85%,795,MBO4431499.1
CotH kinase family protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1121,1121,98%,0.0,68.99%,793,MBQ8710180.1
CotH kinase family protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1120,1120,98%,0.0,68.04%,799,MBO7593293.1
CotH kinase family protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1120,1120,98%,0.0,69.11%,793,MBS7322467.1
CotH kinase family protein [Prevotellaceae bacterium],Prevotellaceae bacterium,,2049047,1118,1118,98%,0.0,68.99%,793,MCI6803122.1
CotH kinase family protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1115,1115,98%,0.0,68.61%,793,MBQ7143346.1
CotH kinase family protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1114,1114,98%,0.0,68.61%,793,MBR1491906.1
CotH kinase family protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1100,1100,98%,0.0,67.47%,781,MBR1666924.1
CotH kinase family protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1093,1093,98%,0.0,67.00%,807,MBR6035988.1
CotH kinase family protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1090,1090,98%,0.0,66.62%,789,MBQ6749745.1
CotH kinase family protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1087,1087,97%,0.0,67.17%,807,MBP5375046.1
CotH kinase family protein [Bacteroidales bacterium],Bacteroidales bacterium,,2030927,1080,1080,97%,0.0,66.24%,775,MBO6012599.1
CotH kinase family protein [Bacteroidales bacterium],Bacteroidales bacterium,,2030927,1078,1078,97%,0.0,66.24%,771,MBO7378476.1
CotH kinase family protein [Bacteroidales bacterium],Bacteroidales bacterium,,2030927,1075,1075,97%,0.0,65.99%,775,MBP5213043.1
CotH kinase family protein [Prevotella sp.],Prevotella sp.,,59823,1071,1071,98%,0.0,65.50%,791,MBR4897754.1
CotH kinase family protein [Bacteroidales bacterium],Bacteroidales bacterium,,2030927,1061,1061,96%,0.0,65.98%,771,MBP5763707.1
CotH kinase family protein [Bacteroidales bacterium],Bacteroidales bacterium,,2030927,1061,1061,98%,0.0,64.93%,771,MBR0037054.1
CotH kinase family protein [Prevotella sp.],Prevotella sp.,,59823,1057,1057,98%,0.0,64.77%,772,MBR1932669.1
CotH kinase family protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1057,1057,98%,0.0,64.07%,775,MCR5044263.1
CotH kinase family protein [Prevotella sp.],Prevotella sp.,,59823,1055,1055,97%,0.0,65.23%,781,MBR1448571.1
CotH kinase family protein [Prevotella sp.],Prevotella sp.,,59823,1051,1051,97%,0.0,63.49%,783,MBR1414979.1
CotH kinase family protein [Prevotella sp.],Prevotella sp.,,59823,1049,1049,96%,0.0,64.42%,789,MCR4809336.1
CotH kinase family protein [Prevotella sp.],Prevotella sp.,,59823,1047,1047,97%,0.0,64.29%,770,MBR6938807.1
