Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. Ident,Acc. Len,Accession
hypothetical protein [Prevotella sp.],Prevotella sp.,,59823,252,252,35%,1e-74,57.31%,273,MBQ4392092.1
hypothetical protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,263,263,40%,2e-74,59.65%,592,MBQ9640915.1
hypothetical protein [Prevotella sp.],Prevotella sp.,,59823,253,253,50%,2e-69,47.12%,737,MBR0049998.1
hypothetical protein [Prevotella sp.],Prevotella sp.,,59823,250,250,39%,6.999999999999999e-69,55.76%,710,MBQ9357860.1
hypothetical protein [Prevotella sp.],Prevotella sp.,,59823,248,248,54%,7e-68,44.36%,722,MBR6318871.1
hypothetical protein [Prevotella sp.],Prevotella sp.,,59823,227,227,36%,2e-64,55.13%,307,MBQ7509968.1
hypothetical protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,233,233,54%,2e-62,43.59%,730,MBR2153779.1
hypothetical protein [Prevotella sp.],Prevotella sp.,,59823,219,219,51%,1e-57,39.64%,691,MBQ9667712.1
hypothetical protein [Prevotella sp.],Prevotella sp.,,59823,198,198,51%,3.9999999999999996e-50,40.65%,695,MBR0050000.1
hypothetical protein [Bacteroidales bacterium],Bacteroidales bacterium,,2030927,196,196,55%,1.0000000000000001e-49,38.38%,689,MBR0036696.1
hypothetical protein [Prevotella sp.],Prevotella sp.,,59823,184,184,51%,5.0000000000000004e-45,35.47%,705,MBO5467827.1
TPA: hypothetical protein [Candidatus Paraprevotella stercorigallinarum],Candidatus Paraprevotella stercorigallinarum,,2838726,177,177,58%,2e-44,33.33%,436,HIY36675.1
hypothetical protein [Paraprevotella clara],Paraprevotella clara,,454154,173,173,50%,3e-41,37.50%,712,WP_270652293.1
hypothetical protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,171,171,50%,1e-40,38.50%,696,MBR2193569.1
hypothetical protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,170,170,50%,2e-40,38.57%,696,MBR3530539.1
hypothetical protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,164,164,62%,7e-39,33.19%,580,MBR6974456.1
hypothetical protein [Prevotella sp.],Prevotella sp.,,59823,162,162,52%,2e-37,33.84%,744,MBQ8157920.1
hypothetical protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,149,149,61%,4e-33,31.42%,724,MBR4590074.1
hypothetical protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,147,147,43%,9e-33,34.81%,724,MCR4768809.1
hypothetical protein [Paraprevotella xylaniphila],Paraprevotella xylaniphila,,454155,146,146,57%,9.999999999999999e-33,30.95%,621,WP_008626292.1
carbohydrate binding domain-containing protein [Prevotella sp.],Prevotella sp.,,59823,146,146,55%,3e-32,32.23%,767,MBS7285406.1
hypothetical protein HMPREF9441_02120 [Paraprevotella clara YIT 11840],Paraprevotella clara YIT 11840,,762968,138,138,44%,7.999999999999999e-32,34.35%,337,EHH00113.1
hypothetical protein [Paraprevotella clara],Paraprevotella clara,,454154,137,137,43%,2e-31,34.36%,330,WP_244949710.1
hypothetical protein [Paraprevotella sp.],Paraprevotella sp.,,2049036,143,143,33%,8e-31,42.35%,1534,MBP3470722.1
hypothetical protein [Paraprevotella sp.],Paraprevotella sp.,,2049036,143,143,33%,8e-31,42.35%,1534,MBO5181456.1
