Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. Ident,Acc. Len,Accession
glycoside hydrolase family 95 protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1582,1582,100%,0.0,96.17%,790,MBR0047372.1
glycoside hydrolase family 95 protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1443,1443,97%,0.0,88.38%,793,MBR1667131.1
glycoside hydrolase family 95 protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1435,1435,98%,0.0,87.48%,784,MBO7580657.1
glycoside hydrolase family 95 protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1434,1434,99%,0.0,87.29%,789,MBO4431501.1
glycoside hydrolase family 95 protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1434,1434,97%,0.0,87.63%,797,MBR6035985.1
glycoside hydrolase family 95 protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1431,1431,100%,0.0,85.51%,797,MBO7593290.1
glycoside hydrolase family 95 protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1430,1430,97%,0.0,87.11%,786,MBP5375049.1
glycoside hydrolase family 95 protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1429,1429,99%,0.0,86.22%,793,MBO4673626.1
glycoside hydrolase family 95 protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1423,1423,99%,0.0,86.15%,793,MBQ3925484.1
glycoside hydrolase family 95 protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1419,1419,99%,0.0,85.90%,793,MBR3618896.1
glycoside hydrolase N-terminal domain-containing protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1418,1418,97%,0.0,86.98%,786,MBS7322464.1
glycoside hydrolase N-terminal domain-containing protein [Prevotellaceae bacterium],Prevotellaceae bacterium,,2049047,1417,1417,97%,0.0,86.98%,797,MCI6803119.1
glycoside hydrolase N-terminal domain-containing protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1416,1416,97%,0.0,86.85%,797,MBQ8710177.1
glycoside hydrolase N-terminal domain-containing protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1416,1416,97%,0.0,86.59%,786,MBR1491909.1
glycoside hydrolase N-terminal domain-containing protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1412,1412,97%,0.0,86.59%,786,MBQ7143343.1
glycoside hydrolase N-terminal domain-containing protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1393,1393,98%,0.0,85.34%,790,MBR6203033.1
glycoside hydrolase family 95 protein [Prevotella sp.],Prevotella sp.,,59823,1383,1383,97%,0.0,86.03%,797,MBQ3805129.1
glycoside hydrolase family 95 protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1373,1373,99%,0.0,83.06%,799,MBR6974410.1
glycoside hydrolase family 95 protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1372,1372,99%,0.0,83.06%,799,MCR5044262.1
glycoside hydrolase family 95 protein [Bacteroidaceae bacterium],Bacteroidaceae bacterium,,2212467,1342,1342,99%,0.0,80.31%,796,MBR2630920.1
